NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,PPOPCHG_2016,PPOPCHG_2017,PPOPCHG_2018
New York,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,21956,98434,76035,53494,28287,5081,-19822,-50870,-48510,0.113303022,0.50738966,0.389952793,0.273283436,0.144115234,0.025849179,-0.100816773,-0.258991266,-0.247617252
North Carolina,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,38557,82461,92369,94476,90345,99135,123600,114121,112820,0.40434215,0.861275083,0.956522243,0.969071782,0.917804555,0.997942006,1.231924916,1.123605462,1.098453869
North Dakota,674710,685136,701116,721999,737382,754022,754353,755176,760077,2134,10426,15980,20883,15383,16640,331,823,4901,0.317287563,1.545256481,2.332383644,2.978537075,2.130612369,2.256632248,0.043897923,0.109100116,0.648987786
Ohio,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,2570,4136,4906,28207,26397,14877,17153,29126,25313,0.022276624,0.035842645,0.042500245,0.244250941,0.22802079,0.128217139,0.147643497,0.250330834,0.217015776
Oklahoma,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079,8049,28189,30779,34605,25162,31464,16938,5871,10439,0.214549432,0.74978083,0.812577997,0.906222176,0.653014828,0.811269279,0.433215656,0.149512233,0.265445095
Oregon,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713,6457,34196,27390,23790,41198,52812,74486,55188,44121,0.168542772,0.891093547,0.70743606,0.610137985,1.050190318,1.33225499,1.854307208,1.348876816,1.064030413
Pennsylvania,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060,8285,33425,22244,9794,12480,-3342,-2221,6909,16613,0.065221466,0.262957946,0.174536899,0.076714441,0.097678408,-0.026131626,-0.017370889,0.054046071,0.129886
Rhode Island,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315,981,-402,1065,521,895,156,890,-577,829,0.093166198,-0.038142661,0.101088145,0.04940257,0.084824314,0.01477249,0.084266498,-0.054585204,0.078467675
South Carolina,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127,10275,35766,45690,47041,59640,68460,65982,62984,62908,0.222143862,0.771541288,0.97807477,0.997241533,1.251848965,1.419215128,1.348703757,1.270290739,1.252843184
South Dakota,816165,823484,833496,842270,849088,853933,862890,873286,882235,1967,7319,10012,8774,6818,4845,8957,10396,8949,0.241587427,0.896754945,1.2158099,1.052674518,0.809479146,0.570612233,1.048911332,1.204788559,1.024750196
